generation,HV_mean,HV_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_best,MinEmis_best,MinTime_best,MinCost_mean,MinCost_std,MinEmis_mean,MinEmis_std,MinTime_mean,MinTime_std,boost_triggered_best
0,0.0,0.0,5.225347289622152,0.2830531939506531,0.18178257008281778,0.0330072708306503,0.43200000000000016,0.035537773331109725,0.43200000000000016,0.035537773331109725,7587778.770742817,7263667656.270833,473.06380952380954,7764121.335321764,295299.71129327547,7459763940.298722,163463743.33459893,469.5494682539683,3.4955739341884406,0
1,0.0,0.0,5.225347289622152,0.2830531939506531,0.18178257008281778,0.0330072708306503,1.0,0.0,1.0,0.0,6910004.271614079,6499156221.928736,465.19714285714286,7022765.569095416,350746.85267623916,6221145405.843131,342120433.4728211,459.04935317460325,15.643510478090302,0
2,0.0,0.0,5.225347289622152,0.2830531939506531,0.18178257008281778,0.0330072708306503,1.0,0.0,1.0,0.0,6876845.520434371,6221769826.542021,465.19714285714286,6964089.94391202,362165.6011811151,6131404286.79516,273822736.65343684,456.88557142857167,15.948752560273679,0
3,0.0,0.0,5.225347289622152,0.2830531939506531,0.18178257008281778,0.0330072708306503,1.0,0.0,1.0,0.0,6834250.074887797,5975182987.173609,465.19714285714286,6809156.590249068,286330.7879443583,5950055605.06552,224240812.552105,454.18976190476207,16.58251648685022,0
4,0.0,0.0,5.225347289622152,0.2830531939506531,0.18178257008281778,0.0330072708306503,1.0,0.0,1.0,0.0,6829626.78216315,5780755093.199375,465.19714285714286,6691693.7060558,337094.122592698,5846102041.968679,245675891.3921886,450.1480992063493,18.078198358637923,0
5,0.0,0.0,1.824396382520549,0.3761660595377918,0.12198006682004821,0.02419148807402179,1.0,0.0,1.0,0.0,6798592.989773659,5769103104.394405,465.19714285714286,6565031.297490405,292552.97608852305,5661790265.634808,207559441.82288626,447.6551071428572,17.937300282752318,0
6,0.0,0.0,1.824396382520549,0.3761660595377918,0.12198006682004821,0.02419148807402179,1.0,0.0,1.0,0.0,6532144.587709344,5769103104.394405,465.19714285714286,6466684.515822974,286463.6707340267,5530104966.20202,177840535.57714054,442.8501507936508,18.92625033839589,0
7,0.0,0.0,1.824396382520549,0.3761660595377918,0.12198006682004821,0.02419148807402179,1.0,0.0,1.0,0.0,6202883.396529649,5365280453.702045,465.19714285714286,6293989.873847333,262117.82288998613,5425159004.07967,181629555.99179322,440.6377103174603,19.697060812301498,0
8,0.0,0.0,1.824396382520549,0.3761660595377918,0.12198006682004821,0.02419148807402179,1.0,0.0,1.0,0.0,6185273.907291551,5365280453.702045,463.17083333333335,6215211.647034956,288064.35068810097,5359933671.997602,190551892.90831742,436.4591984126984,19.18350210518376,0
9,0.0,0.0,1.824396382520549,0.3761660595377918,0.12198006682004821,0.02419148807402179,1.0,0.0,1.0,0.0,6171203.832272081,5365280453.702045,463.17083333333335,6144016.306237767,271737.82205672725,5299306946.930483,163908679.66604036,434.72610317460317,18.737835501818513,0
10,0.020539333333333333,0.02921485899713059,1.0745046233872158,0.24695680269305362,0.0934027795922375,0.0436509446759806,1.0,0.0,1.0,0.0,6114779.034378489,5330811332.796294,463.17083333333335,6045535.321317861,259549.5745645753,5206137890.318457,141679661.23263028,430.6150357142858,17.25087554993575,0
