generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinEmission_gCO2_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
0,0.0,0.0,inf,,0.0,0.0,0.0010666666666666667,0.0027194770739161506,0.0010666666666666667,0.0027194770739161506,16971838.212631546,2020611883.7117674,542.3683333333333,1,0.0,0.0,2229.2989994544237,0.0,318622.842343728
1,0.0,0.0,inf,,0.0,0.0,0.00986666666666667,0.015823470612423257,0.00986666666666667,0.015823470612423257,16971838.212631546,2020611883.7117674,542.3683333333333,1,0.0,0.0,564.7208545296779,0.0,448627.1595358473
2,0.0,0.0,inf,,0.0,0.0,0.06053333333333335,0.06250532421766608,0.06053333333333335,0.06250532421766608,15654377.503753256,1779123571.11872,526.8991666666667,1,0.0,0.0,297.15541446793776,0.0,476986.3541244079
3,0.0,0.0,inf,,0.0,0.0,0.23920000000000013,0.16772485405170776,0.23920000000000013,0.16772485405170776,15541707.23558855,1721347616.2818274,520.8716666666667,0,0.0,0.0,119.48312655323159,0.0,500072.4727885477
4,0.0,0.0,inf,,0.0,0.0,0.5951999999999998,0.2619443197831682,0.5951999999999998,0.2619443197831682,14966020.506724583,1652408737.2652483,480.2988095238095,0,0.0,0.0,28.216447158224025,0.0,515888.93308876146
5,0.0,0.0,15.61004913871568,1.9224191430898148,0.18960687548522398,0.0827955941900385,0.9042666666666668,0.1768522798521096,0.9042666666666668,0.1768522798521096,14819925.025446016,1610045835.4603856,480.2988095238095,0,0.0,0.0,4.545287200336619,0.0,527883.8253569414
6,0.0,0.0,15.61004913871568,1.9224191430898148,0.18960687548522398,0.0827955941900385,0.9906666666666666,0.05026153819992202,0.9906666666666666,0.05026153819992202,14325299.600004528,1515506518.2842891,480.2988095238095,0,0.0,0.0,0.18210956757278118,0.0,534967.6123845599
7,0.0,0.0,15.61004913871568,1.9224191430898148,0.18960687548522398,0.0827955941900385,1.0,0.0,1.0,0.0,14325299.600004528,1515506518.2842891,480.2988095238095,0,0.0,0.0,0.0,0.0,539471.5383421625
8,0.0,0.0,15.61004913871568,1.9224191430898148,0.18960687548522398,0.0827955941900385,1.0,0.0,1.0,0.0,14172650.721769504,1474757786.496559,473.2541666666667,0,0.0,0.0,0.0,0.0,544819.3053566401
9,0.0,0.0,15.61004913871568,1.9224191430898148,0.18960687548522398,0.0827955941900385,1.0,0.0,1.0,0.0,13908353.861103503,1414035443.4859216,466.14214285714286,0,0.0,0.0,0.0,0.0,547686.9198508057
10,0.0,0.0,9.772351023798944,1.791130922768817,0.1539686290858502,0.0654492413902912,1.0,0.0,1.0,0.0,13908353.861103503,1409667343.578629,466.14214285714286,0,0.0,0.0,0.0,0.0,550735.1844563986
11,0.0,0.0,9.772351023798944,1.791130922768817,0.1539686290858502,0.0654492413902912,1.0,0.0,1.0,0.0,13707372.74491114,1362787166.342698,466.14214285714286,0,0.0,0.0,0.0,0.0,554755.8384631007
12,0.0,0.0,9.772351023798944,1.791130922768817,0.1539686290858502,0.0654492413902912,1.0,0.0,1.0,0.0,13672808.5447505,1353842674.7990766,466.14214285714286,0,0.0,0.0,0.0,0.0,557156.5072342448
13,0.0,0.0,9.772351023798944,1.791130922768817,0.1539686290858502,0.0654492413902912,1.0,0.0,1.0,0.0,13441104.32707603,1320943556.5491393,466.14214285714286,0,0.0,0.0,0.0,0.0,561412.9723399718
14,0.0,0.0,9.772351023798944,1.791130922768817,0.1539686290858502,0.0654492413902912,1.0,0.0,1.0,0.0,13248745.858430684,1278410265.4194944,466.14214285714286,0,0.0,0.0,0.0,0.0,564270.8206387225
15,0.0,0.0,6.534520230437008,1.3367674133210505,0.11396488543626553,0.03662861637347424,1.0,0.0,1.0,0.0,13248745.858430684,1278410265.4194944,466.14214285714286,0,0.0,0.0,0.0,0.0,567078.2964565814
16,0.0,0.0,6.534520230437008,1.3367674133210505,0.11396488543626553,0.03662861637347424,1.0,0.0,1.0,0.0,13234290.214458872,1274310834.1492224,466.14214285714286,0,0.0,0.0,0.0,0.0,569813.9489722521
17,0.0,0.0,6.534520230437008,1.3367674133210505,0.11396488543626553,0.03662861637347424,1.0,0.0,1.0,0.0,13162084.956277769,1267529951.679988,465.19714285714286,0,0.0,0.0,0.0,0.0,572314.7590492389
18,0.0,0.0,6.534520230437008,1.3367674133210505,0.11396488543626553,0.03662861637347424,1.0,0.0,1.0,0.0,12997216.031316306,1224298503.497491,465.19714285714286,0,0.0,0.0,0.0,0.0,574276.8327406844
19,0.0,0.0,6.534520230437008,1.3367674133210505,0.11396488543626553,0.03662861637347424,1.0,0.0,1.0,0.0,12967104.126988178,1219457847.6401935,465.19714285714286,0,0.0,0.0,0.0,0.0,578210.500070098
20,0.0,0.0,4.674820707646152,1.4356425645500215,0.09063996417982395,0.06583081661418122,1.0,0.0,1.0,0.0,12849040.428487567,1200366380.2266424,463.0325,0,0.0,0.0,0.0,0.0,579601.6847265068
21,0.0,0.0,4.674820707646152,1.4356425645500215,0.09063996417982395,0.06583081661418122,1.0,0.0,1.0,0.0,12738252.020886388,1176778058.7899592,463.0325,0,0.0,0.0,0.0,0.0,581116.9490778713
22,0.0,0.0,4.674820707646152,1.4356425645500215,0.09063996417982395,0.06583081661418122,1.0,0.0,1.0,0.0,12732685.649402514,1176778058.7899592,463.0325,0,0.0,0.0,0.0,0.0,583452.71526569
23,0.0,0.0,4.674820707646152,1.4356425645500215,0.09063996417982395,0.06583081661418122,1.0,0.0,1.0,0.0,12647946.567622079,1151569650.0089483,463.0325,0,0.0,0.0,0.0,0.0,584559.6012198719
24,0.0,0.0,4.674820707646152,1.4356425645500215,0.09063996417982395,0.06583081661418122,1.0,0.0,1.0,0.0,12544215.793079415,1139959821.9264476,463.0325,0,0.0,0.0,0.0,0.0,584853.8019710813
25,8.333333333333333e-05,0.0004487637339278754,3.5296946321339973,1.343267582537574,0.07518135288124098,0.04976533288949999,1.0,0.0,1.0,0.0,12544215.793079415,1139959821.9264476,463.0325,0,0.0,0.0,0.0,0.0,584835.677747196
26,8.333333333333333e-05,0.0004487637339278754,3.5296946321339973,1.343267582537574,0.07518135288124098,0.04976533288949999,1.0,0.0,1.0,0.0,12544215.793079415,1139959821.9264476,463.0325,0,0.0,0.0,0.0,0.0,585361.75196855
27,8.333333333333333e-05,0.0004487637339278754,3.5296946321339973,1.343267582537574,0.07518135288124098,0.04976533288949999,1.0,0.0,1.0,0.0,12544215.793079415,1138564786.2196326,463.0325,0,0.0,0.0,0.0,0.0,586289.3317942361
28,8.333333333333333e-05,0.0004487637339278754,3.5296946321339973,1.343267582537574,0.07518135288124098,0.04976533288949999,1.0,0.0,1.0,0.0,12544215.793079415,1138564786.2196326,463.0325,0,0.0,0.0,0.0,0.0,586639.1497683695
29,8.333333333333333e-05,0.0004487637339278754,3.5296946321339973,1.343267582537574,0.07518135288124098,0.04976533288949999,1.0,0.0,1.0,0.0,12460985.270957991,1117645493.4815252,463.0325,0,0.0,0.0,0.0,0.0,586441.4462023919
30,0.0012666666666666666,0.006821208755703705,2.9271283481737576,1.2692484116866516,0.058065450039014095,0.04332901684608963,1.0,0.0,1.0,0.0,12460985.270957991,1117645493.4815252,460.77714285714285,0,0.0,0.0,0.0,0.0,586841.6438683753
