generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
0,0.0,0.0,29.000870124604276,3.0564228617113844,1.8064251282597625,0.6063393308623357,0.3949333333333334,0.03550674427329108,0.3949333333333334,0.03550674427329108,7371951.5941854445,467.83142857142855,0,0.0,0.0,408.95009184859936,20423.2042296538,175623.44767115923
1,0.0,0.0,29.000870124604276,3.0564228617113844,1.8064251282597625,0.6063393308623357,0.9776000000000001,0.046574384948524374,0.9776000000000001,0.046574384948524374,7371951.5941854445,467.83142857142855,0,0.0,0.0,0.40315092061695956,31524.56455581241,206277.83614450527
2,0.0,0.0,29.000870124604276,3.0564228617113844,1.8064251282597625,0.6063393308623357,1.0,0.0,1.0,0.0,7371951.5941854445,465.19714285714286,0,0.0,0.0,0.0,24308.277232114666,197782.68945680762
3,0.0,0.0,29.000870124604276,3.0564228617113844,1.8064251282597625,0.6063393308623357,1.0,0.0,1.0,0.0,7051021.204245949,465.19714285714286,0,0.0,0.0,0.0,20257.169443229755,193486.81614803887
4,0.0,0.0,29.000870124604276,3.0564228617113844,1.8064251282597625,0.6063393308623357,1.0,0.0,1.0,0.0,6771383.009622337,465.19714285714286,0,0.0,0.0,0.0,17342.468860900557,189728.07996028
5,0.0,0.0,18.18336320798471,1.7843180764137652,0.5031377968059331,0.19604724972902265,1.0,0.0,1.0,0.0,6573649.08503827,465.19714285714286,0,0.0,0.0,0.0,14862.863970244585,186758.22375070123
6,0.0,0.0,18.18336320798471,1.7843180764137652,0.5031377968059331,0.19604724972902265,1.0,0.0,1.0,0.0,6573649.08503827,460.77714285714285,0,0.0,0.0,0.0,13224.377088862695,185552.59386662938
7,0.0,0.0,18.18336320798471,1.7843180764137652,0.5031377968059331,0.19604724972902265,1.0,0.0,1.0,0.0,6540513.547246463,458.3441666666667,0,0.0,0.0,0.0,11170.360810724278,182596.16197983173
8,0.0,0.0,18.18336320798471,1.7843180764137652,0.5031377968059331,0.19604724972902265,1.0,0.0,1.0,0.0,6485295.322707559,439.79214285714284,0,0.0,0.0,0.0,9661.688384811552,181132.1859116899
9,0.0,0.0,18.18336320798471,1.7843180764137652,0.5031377968059331,0.19604724972902265,1.0,0.0,1.0,0.0,6400297.999265823,439.79214285714284,0,0.0,0.0,0.0,8409.867902870192,179473.2377595493
10,0.0,0.0,11.997285541881876,1.4109520550586474,0.4772501569346022,0.26611483047544815,1.0,0.0,1.0,0.0,6264207.510908295,439.79214285714284,0,0.0,0.0,0.0,7175.904331048529,177507.82903796915
