generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
0,0.0,0.0,33.04968070339522,3.151880511654686,1.262183566543118,0.2945206762125675,0.5549333333333334,0.025921591172011184,0.5549333333333334,0.025921591172011184,7858813.575478843,460.77714285714285,0,0.0,0.0,322.6842392793235,21868.807961827606,127694.94625622833
1,0.0,0.0,33.04968070339522,3.151880511654686,1.262183566543118,0.2945206762125675,1.0,0.0,1.0,0.0,7748797.436267017,460.77714285714285,0,0.0,0.0,0.0,28212.144962205806,167269.63313484596
2,0.0,0.0,33.04968070339522,3.151880511654686,1.262183566543118,0.2945206762125675,1.0,0.0,1.0,0.0,7144629.39767784,460.77714285714285,0,0.0,0.0,0.0,21640.768493538446,160278.1827969353
3,0.0,0.0,33.04968070339522,3.151880511654686,1.262183566543118,0.2945206762125675,1.0,0.0,1.0,0.0,7017752.151367278,430.11595238095236,0,0.0,0.0,0.0,17374.769516828128,155521.8331271885
4,0.0,0.0,33.04968070339522,3.151880511654686,1.262183566543118,0.2945206762125675,1.0,0.0,1.0,0.0,7015146.605030543,430.11595238095236,0,0.0,0.0,0.0,14835.76977449192,153904.91052866733
5,0.0,0.0,20.436536873593173,2.2072586164529175,0.4995356879721451,0.2374224750318455,1.0,0.0,1.0,0.0,6667242.863387742,430.11595238095236,0,0.0,0.0,0.0,12784.778789418944,151361.21622598794
6,0.0,0.0,20.436536873593173,2.2072586164529175,0.4995356879721451,0.2374224750318455,1.0,0.0,1.0,0.0,6665257.306063638,422.34261904761905,0,0.0,0.0,0.0,11008.237645774821,148223.5422235474
7,0.0,0.0,20.436536873593173,2.2072586164529175,0.4995356879721451,0.2374224750318455,1.0,0.0,1.0,0.0,6519313.537377982,422.34261904761905,0,0.0,0.0,0.0,9414.489766414634,146682.68869375327
8,0.0,0.0,20.436536873593173,2.2072586164529175,0.4995356879721451,0.2374224750318455,1.0,0.0,1.0,0.0,6519313.537377982,420.882619047619,0,0.0,0.0,0.0,8336.530512899206,146053.80205536354
9,0.0,0.0,20.436536873593173,2.2072586164529175,0.4995356879721451,0.2374224750318455,1.0,0.0,1.0,0.0,6518104.744961119,419.98761904761903,0,0.0,0.0,0.0,7364.17129883436,145790.70469963906
10,0.0,0.0,14.344132553859543,2.2814968246089116,0.35061382665165314,0.18466319980147783,1.0,0.0,1.0,0.0,6496881.459882191,419.4371428571428,0,0.0,0.0,0.0,6489.719422939982,144261.12111087202
11,0.0,0.0,14.344132553859543,2.2814968246089116,0.35061382665165314,0.18466319980147783,1.0,0.0,1.0,0.0,6152932.994511989,419.4371428571428,0,0.0,0.0,0.0,5849.46144590531,144564.198172704
12,0.0,0.0,14.344132553859543,2.2814968246089116,0.35061382665165314,0.18466319980147783,1.0,0.0,1.0,0.0,6152932.994511989,414.75595238095235,0,0.0,0.0,0.0,4991.390917839013,143793.03073743277
13,0.0,0.0,14.344132553859543,2.2814968246089116,0.35061382665165314,0.18466319980147783,1.0,0.0,1.0,0.0,6152932.994511989,414.75595238095235,0,0.0,0.0,0.0,4436.702442702458,143781.3879575339
14,0.0,0.0,14.344132553859543,2.2814968246089116,0.35061382665165314,0.18466319980147783,1.0,0.0,1.0,0.0,6152932.994511989,413.2192857142857,0,0.0,0.0,0.0,3988.288532900358,142795.1019107554
15,0.0,0.0,9.854568241231199,1.5784828063353575,0.25512691292620887,0.11519442205270619,1.0,0.0,1.0,0.0,6027318.331627849,413.2192857142857,0,0.0,0.0,0.0,3472.8997014599418,141169.78862994423
16,0.0,0.0,9.854568241231199,1.5784828063353575,0.25512691292620887,0.11519442205270619,1.0,0.0,1.0,0.0,6027318.331627849,413.2192857142857,0,0.0,0.0,0.0,2982.2370838921483,140449.61723904792
17,0.0,0.0,9.854568241231199,1.5784828063353575,0.25512691292620887,0.11519442205270619,1.0,0.0,1.0,0.0,5859307.995729437,407.8542857142857,0,0.0,0.0,0.0,2681.1080123872507,139593.74564176743
18,0.0,0.0,9.854568241231199,1.5784828063353575,0.25512691292620887,0.11519442205270619,1.0,0.0,1.0,0.0,5859307.995729437,407.8542857142857,0,0.0,0.0,0.0,2322.2624483297377,139101.66628564819
19,0.0,0.0,9.854568241231199,1.5784828063353575,0.25512691292620887,0.11519442205270619,1.0,0.0,1.0,0.0,5859307.995729437,407.8542857142857,0,0.0,0.0,0.0,2084.8423057142686,138150.78242383094
