generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinEmission_gCO2_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
0,0.0,0.0,inf,,0.0,0.0,0.0010666666666666667,0.0027194770739161506,0.0010666666666666667,0.0027194770739161506,57940948.408524804,1902313186.4619925,593.9900000000001,1,0.0,0.0,2229.2989994544237,341299.14710707776,318622.842343728
1,0.0,0.0,inf,,0.0,0.0,0.00986666666666667,0.015823470612423257,0.00986666666666667,0.015823470612423257,57940948.408524804,1902313186.4619925,593.9900000000001,1,0.0,0.0,564.7208545296779,543741.7213693483,448627.1595358473
2,0.0,0.0,inf,,0.0,0.0,0.06480000000000002,0.0685499331387955,0.06480000000000002,0.0685499331387955,57940948.408524804,1902313186.4619925,593.9900000000001,1,0.0,0.0,295.4609189579692,586986.4975463379,477030.63647800067
3,0.0,0.0,inf,,0.0,0.0,0.2514666666666668,0.1827515131416305,0.2514666666666668,0.1827515131416305,53119347.37774836,1628409228.1149309,516.045,0,0.0,0.0,117.47816846803434,622020.9173392124,499779.3646437031
4,0.0,0.0,inf,,0.0,0.0,0.5997333333333333,0.2656070949520906,0.5997333333333333,0.2656070949520906,53119347.37774836,1548200995.6766682,516.045,0,0.0,0.0,28.9681099864719,643723.873337622,513202.31472401257
5,0.003533333333333333,0.005357134391527703,1.1295844380354616,0.12720081909324335,0.04400857011963843,0.012164403074416887,0.9309333333333335,0.1473605404743376,0.9309333333333335,0.1473605404743376,53119347.37774836,1531397430.344584,516.045,0,0.0,0.0,3.345372370001115,653811.097850373,518172.82108510024
6,0.003533333333333333,0.005357134391527703,1.1295844380354616,0.12720081909324335,0.04400857011963843,0.012164403074416887,0.9890666666666666,0.05887780189133723,0.9890666666666666,0.05887780189133723,52584801.38789161,1531397430.344584,516.045,0,0.0,0.0,0.2829524912881079,647542.2596914853,511775.83499213017
7,0.003533333333333333,0.005357134391527703,1.1295844380354616,0.12720081909324335,0.04400857011963843,0.012164403074416887,1.0,0.0,1.0,0.0,52316884.399410345,1466192641.3605587,516.045,0,0.0,0.0,0.0,643646.2286011291,507894.7829848087
8,0.003533333333333333,0.005357134391527703,1.1295844380354616,0.12720081909324335,0.04400857011963843,0.012164403074416887,1.0,0.0,1.0,0.0,51938024.57838308,1441249157.1103125,467.83142857142855,0,0.0,0.0,0.0,640914.113733695,505042.0397735836
9,0.003533333333333333,0.005357134391527703,1.1295844380354616,0.12720081909324335,0.04400857011963843,0.012164403074416887,1.0,0.0,1.0,0.0,51938024.57838308,1390711327.7670016,467.83142857142855,0,0.0,0.0,0.0,638637.09854396,502365.8650262297
